26年春季考试招生计划及分数参考,,
院校名称,专业名称,最低分
云南水利水电职业学院,工程测量技术,476
云南水利水电职业学院,建设工程监理,471
云南水利水电职业学院,装配式建筑工程技术,475
云南水利水电职业学院,安全技术与管理,482
云南水利水电职业学院,智能水务管理,496
云南水利水电职业学院,水利水电工程智能管理,503
云南水利水电职业学院,工程造价,472
云南水利水电职业学院,跨境电子商务,485
云南水利水电职业学院,网络营销与直播电商,481
云南水利水电职业学院,商务数据分析与应用,479
云南水利水电职业学院,嵌入式技术应用,477
云南水利水电职业学院,数字媒体技术,469
云南水利水电职业学院,大数据技术,480
云南水利水电职业学院,虚拟现实技术应用,486
云南水利水电职业学院,人工智能技术应用,497
云南水利水电职业学院,物联网应用技术,490
云南财经职业学院,计算机应用技术,486
云南财经职业学院,数字媒体技术,484
云南财经职业学院,大数据技术,474
云南财经职业学院,信息安全技术应用,463
云南财经职业学院,区块链技术应用,433
云南财经职业学院,健康管理,463
云南财经职业学院,婴幼儿托育服务与管理,435
云南财经职业学院,财税大数据应用,418
云南财经职业学院,资产评估与管理,466
云南财经职业学院,政府采购管理,462
云南财经职业学院,金融服务与管理,459
云南财经职业学院,财富管理,441
云南财经职业学院,大数据与财务管理,479
云南财经职业学院,大数据与会计,510
云南财经职业学院,大数据与审计,474
云南财经职业学院,会计信息管理,438
云南财经职业学院,统计与会计核算,458
云南财经职业学院,关务与外贸服务连锁经营与管理,433
云南财经职业学院,市场营销,426
云南财经职业学院,电子商务,454
云南财经职业学院,跨境电子商务,447
云南财经职业学院,网络营销与直播电商,435
云南财经职业学院,现代物流管理,454
云南财经职业学院,智慧旅游技术应用,315
云南工业信息职业学院,数字化设计与制造技术,412
云南工业信息职业学院,数控技术,433
云南工业信息职业学院,机械制造及自动化,428
云南工业信息职业学院,智能焊接技术,424
云南工业信息职业学院,机电一体化技术,442
云南工业信息职业学院,工业机器人技术,419
云南工业信息职业学院,电气自动化技术,443
云南工业信息职业学院,新能源汽车技术,433
云南工业信息职业学院,计算机网络技术,425
大理护理职业学院,医学检验技术,493
大理护理职业学院,医学影像技术,500
大理护理职业学院,卫生检验与检疫技术,453
大理护理职业学院,眼视光技术,490
大理护理职业学院,视觉训练与康复,426
大理护理职业学院,药学,501
大理护理职业学院,护理,482
大理护理职业学院,助产,457
大理护理职业学院,健康管理,443
大理护理职业学院,老年保健与管理,459
大理护理职业学院,护理,485
大理护理职业学院,助产,427
大理护理职业学院,健康管理,465
大理护理职业学院,老年保健与管理:,457
大理护理职业学院,智慧健康养老服务与管理,480
大理护理职业学院,针灸推拿,499
大理护理职业学院,中药学:,500
大理护理职业学院,中医康复技术,475
大理护理职业学院,中医养生保健。,474
大理护理职业学院,康复治疗技术,480
云南体育运动职业技术学院,运动训练,496
云南体育运动职业技术学院,体育教育,508
云南体育运动职业技术学院,民族传统体育,489
云南体育运动职业技术学院,体育保健与康复,481
云南体育运动职业技术学院,社会体育,479
云南体育运动职业技术学院,健身指导与管理,465
云南体育运动职业技术学院,运动健康指导,471
云南体育运动职业技术学院,运动数据分析,452
云南体育运动职业技术学院,高尔夫球运动与管理,459
云南体育运动职业技术学院,无人机应用技术,476
