2026云南省春季高考招生院校、专业及预测分数,,,,
院校,专业,,,
云南能源职业技术学院,物联网应用技术,,,
云南能源职业技术学院,计算机应用技术,,,
云南能源职业技术学院,计算机网络技术,,,
云南能源职业技术学院,软件技术,,,
云南能源职业技术学院,数字媒体技术,,,
云南能源职业技术学院,大数据技术,,,
云南能源职业技术学院,电子商务,,,
云南轻纺职业学院,服装设计与工艺,,,
云南轻纺职业学院,机场运行服务与管理,,,
云南轻纺职业学院,服装与服饰设计,,,
云南轻纺职业学院,食品检验检测技术,,,
云南轻纺职业学院,烹饪工艺与营养,,,
云南轻纺职业学院,社区管理与服务,,,
云南轻纺职业学院,智慧健康养老服务与管理,,,
云南轻纺职业学院,工业机器人技术,,,
云南轻纺职业学院,智能控制技术,,,
云南轻纺职业学院,机电设备技术,,,
云南轻纺职业学院,机电一体化技术,,,
云南轻纺职业学院,新能源汽车技术,,,
云南轻纺职业学院,视觉传达设计,,,
云南轻纺职业学院,广告艺术设计,,,
云南轻纺职业学院,工艺美术品设计,,,
云南轻纺职业学院,数字媒体艺术设计,,,
云南轻纺职业学院,建筑室内设计,,,
云南轻纺职业学院,艺术设计,,,
云南轻纺职业学院,信息安全技术应用,,,
云南轻纺职业学院,现代移动通信技术,,,
云南轻纺职业学院,人工智能技术应用,,,
云南轻纺职业学院,云计算技术应用,,,
云南轻纺职业学院,大数据与财务管理,,,
云南轻纺职业学院,大数据与会计,,,
云南轻纺职业学院,电子商务,,,
云南轻纺职业学院,酒店管理与数字化运营,,,
云南轻纺职业学院,业财数据应用与管理,,,
云南锡业职业技术学院,电气自动化技术,,,
云南锡业职业技术学院,供用电技术,,,
云南锡业职业技术学院,机电一体化技术,,,
云南锡业职业技术学院,机械制造及自动化,,,
云南锡业职业技术学院,新能源汽车技术,,,
云南锡业职业技术学院,汽车制造与试验技术,,,
云南锡业职业技术学院,道路与桥梁工程技术,,,
云南锡业职业技术学院,高速铁路客运服务,,,
云南锡业职业技术学院,工程测量技术,,,
云南锡业职业技术学院,工程造价,,,
云南锡业职业技术学院,建筑工程技术,,,
云南锡业职业技术学院,建筑消防技术,,,
云南锡业职业技术学院,大数据与财务管理,,,
云南锡业职业技术学院,工艺美术品设计,,,
云南锡业职业技术学院,数字媒体艺术设计,,,
云南锡业职业技术学院,现代物流管理,,,
云南锡业职业技术学院,法律事务,,,
云南锡业职业技术学院,安全技术与管理,,,
云南锡业职业技术学院,分析检验技术,,,
云南锡业职业技术学院,药品经营与管理,,,
云南锡业职业技术学院,有色金属智能冶金技术,,,
云南锡业职业技术学院,矿山智能开采技术,,,
云南锡业职业技术学院,矿物加工技术,,,
云南锡业职业技术学院,应用化工技术,,,
保山职业学院,食品智能加工技术,,,
保山职业学院,农产品加工与质量检测,,,
保山职业学院,烹饪工艺与营养,,,
保山职业学院,西式烹饪工艺,,,
保山职业学院,酒店管理与数字化运营,,,
保山职业学院,跨境电子商务,,,
保山职业学院,农村电子商务,,,
保山职业学院,老年保健与管理,,,
保山职业学院,健康管理,,,
保山职业学院,智能机电技术,,,
保山职业学院,新能源汽车技术,,,
保山职业学院,应用化工技术,,,
保山职业学院,安全技术与管理,,,
保山职业学院,现代通信技术,,,
保山职业学院,数字化设计与制造技术,,,
德宏职业学院,临床医学,,,
德宏职业学院,口腔医学,,,
德宏职业学院,医学美容技术,,,
德宏职业学院,眼视光技术,,,
德宏职业学院,智能医疗装备技术,,,
德宏职业学院,药学,,,
德宏职业学院,医学检验技术,,,
德宏职业学院,医学影像技术,,,
德宏职业学院,中草药栽培与加工技术,,,
德宏职业学院,护理,,,
德宏职业学院,中医学,,,
德宏职业学院,针灸推拿,,,
德宏职业学院,傣医学,,,
德宏职业学院,康复治疗技术,,,
德宏职业学院,老年保健与管理,,,
德宏职业学院,智慧健康养老服务与管理,,,
德宏职业学院,宝玉石鉴定与加工,,,
德宏职业学院,财税大数据应用,,,
德宏职业学院,大数据与会计,,,
德宏职业学院,电子商务,,,
德宏职业学院,跨境电子商务,,,
德宏职业学院,旅游管理,,,
德宏职业学院,烹饪工艺与营养,,,
德宏职业学院,土木工程检测技术,,,
德宏职业学院,建设工程管理,,,
德宏职业学院,计算机应用技术,,,
德宏职业学院,大数据技术,,,
德宏职业学院,室内艺术设计,,,
德宏职业学院,服装设计与工艺,,,
德宏职业学院,学前教育,,,
德宏职业学院,新能源汽车技术,,,
怒江职业技术学院,建筑工程技术,,,
怒江职业技术学院,婴幼儿托育服务与管理,,,
怒江职业技术学院,旅游管理,,,
怒江职业技术学院,表演艺术,,,
怒江职业技术学院,休闲体育,,,
怒江职业技术学院,供用电技术,,,
怒江职业技术学院,新能源汽车检测与维修技术,,,
文山职业技术学院,学前教育,,,
文山职业技术学院,运动训练,,,
文山职业技术学院,人工智能技术应用,,,
文山职业技术学院,无人机应用技术,,,
文山职业技术学院,工业过程自动化技术,,,
文山职业技术学院,机电一体化技术,,,
文山职业技术学院,护理,,,
文山职业技术学院,康复治疗技术,,,
文山职业技术学院,医学检验技术,,,
文山职业技术学院,口腔医学技术,,,
文山职业技术学院,畜牧兽医,,,
文山职业技术学院,中药材生产与加工,,,
文山职业技术学院,新能源汽车技术,,,
文山职业技术学院,网络营销与直播电商,,,
文山职业技术学院,烹饪工艺与营养,,,
文山职业技术学院,酒店管理与数字化运营,,,
昭通职业学院,建筑工程技术,,,
昭通职业学院,畜牧兽医,,,
昭通职业学院,学前教育,,,
昭通职业学院,烹饪工艺与营养,,,
昭通职业学院,智能制造装备技术,,,
昭通职业学院,体育教育,,,
昭通职业学院,供应链运营,,,
昭通职业学院,运动训练,,,
昭通职业学院,新能源汽车技术,,,
昭通职业学院,供用电技术,,,
昭通职业学院,数字媒体技术,,,
昭通职业学院,大数据与财务管理,,,
昭通职业学院,网络营销与直播电商,,,
昭通职业学院,艺术设计,,,
曲靖职业技术学院,建筑工程技术,,,
曲靖职业技术学院,现代农业技术,,,
曲靖职业技术学院,绿色食品生产技术,,,
曲靖职业技术学院,农产品加工与质量检测,,,
曲靖职业技术学院,食品营养与健康,,,
曲靖职业技术学院,烹饪工艺与营养,,,
曲靖职业技术学院,大数据与会计,,,
曲靖职业技术学院,电子商务,,,
曲靖职业技术学院,金融服务与管理,,,
曲靖职业技术学院,旅游管理,,,
曲靖职业技术学院,大数据与审计,,,
曲靖职业技术学院,现代物流管理,,,
曲靖职业技术学院,大数据技术,,,
曲靖职业技术学院,智能控制技术,,,
曲靖职业技术学院,动漫制作技术,,,
曲靖职业技术学院,人工智能技术应用,,,
曲靖职业技术学院,陶瓷设计与工艺,,,
曲靖职业技术学院,婴幼儿托育服务与管理,,,
曲靖职业技术学院,药品经营与管理,,,
曲靖职业技术学院,药品生产技术,,,
曲靖职业技术学院,汽车检测与维修技术,,,
曲靖职业技术学院,新能源汽车技术,,,
曲靖职业技术学院,机电一体化技术,,,
曲靖职业技术学院,化工智能制造技术,,,
玉溪农业职业技术学院,作物生产与经营管理,,,
玉溪农业职业技术学院,种子生产与经营,,,
玉溪农业职业技术学院,烟草栽培与加工技术,,,
玉溪农业职业技术学院,农产品加工与质量检测,,,
玉溪农业职业技术学院,绿色食品生产技术,,,
玉溪农业职业技术学院,园艺技术,,,
玉溪农业职业技术学院,园林技术,,,
玉溪农业职业技术学院,食用菌生产与加工技术,,,
玉溪农业职业技术学院,现代农业技术,,,
玉溪农业职业技术学院,宠物医疗技术,,,
玉溪农业职业技术学院,动物防疫与检疫,,,
玉溪农业职业技术学院,水产养殖技术,,,
玉溪农业职业技术学院,畜牧兽医,,,
玉溪农业职业技术学院,食品智能加工技术,,,
玉溪农业职业技术学院,食品检验检测技术,,,
玉溪农业职业技术学院,药品生产技术,,,
玉溪农业职业技术学院,药品质量与安全,,,
玉溪农业职业技术学院,药品经营与管理,,,
玉溪农业职业技术学院,药学,,,
玉溪农业职业技术学院,中药学,,,
玉溪农业职业技术学院,中药材生产与加工,,,
玉溪农业职业技术学院,烹饪工艺与营养,,,
玉溪农业职业技术学院,中医养生保健,,,
玉溪农业职业技术学院,婴幼儿托育服务与管理,,,
玉溪农业职业技术学院,建筑室内设计,,,
玉溪农业职业技术学院,工程造价,,,
玉溪农业职业技术学院,无人机应用技术,,,
玉溪农业职业技术学院,环境艺术设计,,,
玉溪农业职业技术学院,现代农业经济管理,,,
玉溪农业职业技术学院,大数据与财务管理,,,
玉溪农业职业技术学院,大数据与会计,,,
玉溪农业职业技术学院,市场营销,,,
玉溪农业职业技术学院,电子商务,,,
