2026云南省职教高考招生院校、专业及专业大类,,,
































































昆明城市学院,社区康复,医学类,480
昆明医科大学海源学院,医学影像技术,医学类,479
昆明医科大学海源学院,医学检验技术,医学类,481
昆明医科大学海源学院,康复治疗学,医学类,485
昆明医科大学海源学院,眼视光学,医学类,485
昆明医科大学海源学院,卫生检验与检疫,医学类,487


























丽江文化旅游学院,医学美容技术,医学类,475
