2026云南省职教高考招生院校、专业及专业大类,,,





院校,专业,专业大类,分数
云南国防工业职业技术学院,电子商务,经济管理类,390
云南国防工业职业技术学院,现代物流管理,经济管理类,395
云南国防工业职业技术学院,大数据与审计,经济管理类,400


















云南科技信息职业学院,大数据与财务管理,经济管理类,101
云南科技信息职业学院,大数据与会计,经济管理类,101
云南科技信息职业学院,现代物流管理,经济管理类,101
云南科技信息职业学院,市场营销,经济管理类,101













云南经贸外事职业学院,大数据与会计,经济管理类,101
云南经贸外事职业学院,电子商务,经济管理类,101


























































塔里木职业技术学院,大数据与会计,经济管理类,380
塔里木职业技术学院,电子商务,经济管理类,385




























新疆生产建设兵团兴新职业技术学院,大数据与财务管理,经济管理类,375
新疆生产建设兵团兴新职业技术学院,现代物流管理,经济管理类,370
新疆生产建设兵团兴新职业技术学院,电子商务,经济管理类,370






新疆生产建设兵团兴新职业技术学院,社会工作,经济管理类,385



铁门关职业技术学院,党务工作,经济管理类,400




昆明理工大学,财务管理,经济管理类,465


云南农业大学,农林经济管理,经济管理类,460






















大理大学,公共管理类,经济管理类,455








德宏师范学院,跨境电子商务,经济管理类,450
德宏师范学院,商务数据分析与应用,经济管理类,450
德宏师范学院,现代物流管理,经济管理类,455













滇西科技师范学院,审计学,经济管理类,455
滇西科技师范学院,会计学,经济管理类,450
滇西科技师范学院,物流管理,经济管理类,450









滇西应用技术大学,物流管理,经济管理类,453





红河学院,财务管理,经济管理类,450
红河学院,跨境电子商务,经济管理类,445


























昆明理工大学津桥学院,国际经济与贸易,经济管理类,420
昆明理工大学津桥学院,工商管理,经济管理类,430
昆明理工大学津桥学院,市场营销,经济管理类,425
昆明理工大学津桥学院,会计学,经济管理类,435
昆明理工大学津桥学院,文化产业管理,经济管理类,420
昆明理工大学津桥学院,物流管理,经济管理类,425



云南经济管理学院,会计学,经济管理类,425

云南经济管理学院,审计学,经济管理类,425













云南经济管理学院,大数据与财务管理,经济管理类,420
云南经济管理学院,大数据与会计,经济管理类,419
云南经济管理学院,法律事务,经济管理类,426






























云南工商学院,会计学,经济管理类,425



云南工商学院,审计学,经济管理类,426
