2026云南省职教高考招生院校、专业及专业大类,,,
昆明理工大学津桥学院,计算机科学与技术,计算机信息类,480
昆明理工大学津桥学院,软件工程,计算机信息类,476
昆明理工大学津桥学院,物联网工程,计算机信息类,472
昆明理工大学津桥学院,数字媒体技术,计算机信息类,476





















云南经济管理学院,人工智能,计算机信息类,469
云南经济管理学院,物联网工程,计算机信息类,471













云南经济管理学院,计算机应用技术,计算机信息类,475








云南工商学院,计算机科学与技术,计算机信息类,480
云南工商学院,软件工程,计算机信息类,475
云南工商学院,数字媒体技术,计算机信息类,470

















云南工商学院,数据科学与大数据技术,计算机信息类,473
























滇池学院,电子信息工程,计算机信息类,470
滇池学院,通信工程,计算机信息类,475
滇池学院,人工智能,计算机信息类,480
滇池学院,计算机科学与技术,计算机信息类,485
滇池学院,软件工程,计算机信息类,480
滇池学院,物联网工程,计算机信息类,475
滇池学院,数据科学与大数据技术,计算机信息类,475
滇池学院,数字媒体技术,计算机信息类,478



































昆明城市学院,计算机科学与技术,计算机信息类,470
昆明城市学院,人工智能,计算机信息类,475










昆明城市学院,大数据技术,计算机信息类,478
昆明城市学院,人工智能技术应用,计算机信息类,473
昆明城市学院,软件技术,计算机信息类,476
昆明城市学院,信息安全技术应用,计算机信息类,469













昆明医科大学海源学院,信息管理与信息系统,计算机信息类,470



丽江文化旅游学院,计算机科学与技术,计算机信息类,470
丽江文化旅游学院,软件工程,计算机信息类,475
丽江文化旅游学院,数据科学与大数据技术,计算机信息类,480
丽江文化旅游学院,人工智能,计算机信息类,475







丽江文化旅游学院,大数据技术,计算机信息类,476
